id,title,artist,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
6905,The Chemicals Between Us,Bush,50,0.512,0.958,7,-3.9789999999999996,1,0.16,0.00317,0.0403,0.295,0.39,97.715
6906,"4, 5, 6",Sole Featuring JT Money & Kandi,52,0.285,0.648,9,-7.604,0,0.0285,0.012,0.39399999999999996,0.21600000000000003,0.115,91.429
6907,Tha Block Is Hot,Lil' Wayne Featuring Juvenile & B.G.,44,0.715,0.943,7,-5.271,1,0.111,0.20199999999999999,0.00229,0.0425,0.907,174.074
6908,N 2 Gether Now,Limp Bizkit Featuring Method Man,46,0.775,0.728,6,-7.77,0,0.325,0.127,0.0,0.305,0.625,102.531
6909,L.A. Song,Beth Hart,64,0.675,0.43700000000000006,5,-11.619000000000002,1,0.0412,0.0866,0.00126,0.111,0.4,130.003
6910,"Live, Laugh, Love",Clay Walker,46,0.5329999999999999,0.315,2,-14.349,1,0.0308,0.235,1.1900000000000001e-05,0.0939,0.316,140.918
6911,Someday,Sugar Ray,70,0.5379999999999999,0.52,9,-7.46,1,0.0299,0.00425,0.0,0.36700000000000005,0.6779999999999999,106.031
6912,Satisfy You,Puff Daddy Featuring R. Kelly,53,0.764,0.594,6,-10.05,1,0.185,0.591,0.0,0.145,0.695,87.26100000000001
6913,The Quittin' Kind,Joe Diffie,0,0.6609999999999999,0.652,10,-8.013,1,0.0272,0.00343,0.435,0.0694,0.325,99.984
6914,Bug A Boo,Destiny's Child,52,0.76,0.718,6,-3.0869999999999997,1,0.147,0.00413,7.63e-06,0.18,0.927,104.42
6915,Don't Say You Love Me,M2M,67,0.585,0.633,9,-4.944,1,0.1,0.49700000000000005,0.0,0.145,0.37799999999999995,101.70700000000001
6916,Still D.R.E.,Dr. Dre Featuring Snoop Dogg,75,0.821,0.774,11,-3.418,1,0.235,0.177,0.000676,0.0577,0.547,93.425
6917,She Thinks My Tractor's Sexy,Kenny Chesney,61,0.6890000000000001,0.8859999999999999,10,-7.066,0,0.0382,0.0664,0.0,0.278,0.9059999999999999,122.07
6918,Unpretty,TLC,62,0.648,0.622,7,-6.063,1,0.0428,0.0015199999999999999,5.9699999999999994e-05,0.109,0.51,88.684
6919,Back That Thang Up,Juvenile Featuring Mannie Fresh & Lil' Wayne,51,0.6809999999999999,0.7490000000000001,7,-4.867,1,0.287,0.0919,0.0,0.152,0.499,191.63
6920,Steal My Sunshine,Len,59,0.413,0.8290000000000001,4,-11.110999999999999,1,0.529,0.39399999999999996,0.0,0.10800000000000001,0.677,191.477
6921,All Things Considered,Yankee Grey,47,0.43200000000000005,0.345,1,-18.05,1,0.0367,0.563,0.128,0.125,0.247,132.969
